iter	Passed	Remaining
398	336314	506578
399	337277	505915
400	338225	505229
401	339063	504378
402	339905	503532
403	340777	502730
404	341597	501853
405	342493	501086
406	343493	500470
407	344391	499705
408	345290	498939
409	346102	498049
410	346956	497219
411	347759	496317
412	348567	495421
413	349418	494587
414	350405	493945
415	351342	493230
416	352190	492391
417	353052	491570
418	353859	490674
419	354658	489766
420	355491	488906
421	356435	488198
422	357443	487577
423	358423	486914
424	359253	486049
425	360079	485178
426	360946	484361
427	361753	483464
428	362645	482681
429	363472	481812
430	364263	480895
431	365070	480000
432	365883	479113
433	366701	478232
434	367551	477394
435	368513	476701
436	369371	475871
437	370305	475141
438	371219	474383
439	372028	473491
440	372894	472671
441	373768	471861
442	374733	471165
443	375557	470292
444	376439	469491
445	377315	468683
446	378220	467910
447	379152	467169
448	380089	466435
449	381034	465709
450	381986	464990
451	383109	464477
452	384053	463746
453	384897	462894
454	385732	462030
455	386615	461225
456	387424	460331
457	388239	459444
458	389086	458597
459	389912	457723
460	390814	456939
461	391637	456062
462	392501	455234
463	393425	454473
464	394469	453852
465	395471	453180
466	396394	452415
467	397199	451517
468	398003	450618
469	398811	449723
470	399671	448887
471	400561	448086
472	401453	447285
473	402346	446485
474	403201	445643
475	404009	444750
476	404865	443909
477	405678	443020
478	406494	442137
479	407308	441250
480	408136	440379
481	409028	439578
482	409918	438773
483	410741	437897
484	411577	437036
485	412423	436184
486	412620	434649
487	413395	433726
488	414241	432877
489	415071	432013
490	415879	431125
491	416680	430231
492	417468	429323
493	417521	427663
494	418314	426764
495	419126	425886
496	419948	425018
497	420768	424148
498	421640	423330
499	422506	422506
500	423432	421741
501	424560	421177
502	425521	420445
503	426528	419758
504	427343	418880
505	428155	418001
506	428988	417142
507	429797	416261
508	430635	415406
509	431457	414537
510	432266	413656
511	433069	412769
512	433979	411984
513	434815	411128
514	435640	410263
515	436462	409394
516	437302	408543
517	438106	407658
518	438931	406793
519	439743	405916
520	440589	405071
521	441400	404194
522	442203	403309
523	443000	402419
524	443809	401541
525	444602	400649
526	445410	399771
527	446221	398894
528	447044	398029
529	447855	397154
530	448655	396270
531	449447	395378
532	450249	394496
533	451065	393626
534	451909	392781
535	452744	391928
536	453562	391060
537	454422	390229
538	455272	389388
539	456085	388516
540	456868	387620
541	457673	386742
542	458491	385875
543	459341	385036
544	460160	384170
545	461008	383329
546	461844	382477
547	462699	381642
548	463533	380790
549	464416	379977
550	465247	379121
551	466082	378269
552	466922	377421
553	467754	376567
554	468220	375420
555	469054	374568
556	469897	373724
557	470736	372877
558	471642	372083
559	472477	371232
560	473291	370365
561	474140	369525
562	475026	368715
563	475855	367859
564	476668	366992
565	477550	366177
566	478398	365338
567	479346	364573
568	480312	363821
569	481247	363046
570	482135	362234
571	483063	361453
572	484018	360690
573	484984	359936
574	485873	359124
575	486732	358289
576	487573	357441
577	488401	356583
578	489360	355821
579	490200	354973
580	491048	354129
581	491847	353251
582	492633	352363
583	493413	351472
584	493820	350316
585	494648	349461
586	495470	348601
587	496268	347725
588	497075	346855
589	497870	345977
590	498678	345109
591	499490	344243
592	500273	343357
593	501079	342488
594	501878	341614
595	502682	340744
596	503491	339877
597	504288	339003
