iter	MultiRMSE
203	0.5715354007
204	0.5708558774
205	0.5689016816
206	0.5675283953
207	0.5643709113
208	0.5629007357
209	0.5597120226
210	0.5579209499
211	0.5559906095
212	0.5541420552
213	0.552509303
214	0.5512514839
215	0.5500247281
216	0.5485160947
217	0.5463244822
218	0.5447487596
219	0.5431235309
220	0.5422244342
221	0.5399542145
222	0.5384669356
223	0.5358677858
224	0.5350909143
225	0.5339199957
226	0.5324809316
227	0.5308354247
228	0.5294581532
229	0.5280559331
230	0.5266659533
231	0.525395122
232	0.52438077
233	0.5241171822
234	0.5221224212
235	0.5203215595
236	0.5185984817
237	0.517054067
238	0.5159111874
239	0.5154904037
240	0.514267878
241	0.5134876745
242	0.5119452076
243	0.5108882055
244	0.5094263676
245	0.5080324757
246	0.5074589708
247	0.505759345
248	0.5052408153
249	0.5049802706
250	0.5038627809
251	0.5027255176
252	0.5025201568
253	0.5013962345
254	0.5008696243
255	0.4993955957
256	0.4988597639
257	0.4974995692
258	0.4964027835
259	0.4948695716
260	0.4932480383
261	0.4928888758
262	0.4918284772
263	0.4904120743
264	0.4895473671
265	0.4876236086
266	0.4865195782
267	0.4858012724
268	0.485234768
269	0.4849311039
270	0.4831261228
271	0.4819581029
272	0.4803779723
273	0.4793609111
274	0.4787642731
275	0.4774444294
276	0.4767095626
277	0.4750598813
278	0.4740652814
279	0.4729525468
280	0.4712786386
281	0.4702715472
282	0.4694004651
283	0.4681590017
284	0.4679588092
285	0.4664037381
286	0.4656931982
287	0.4643336456
288	0.4637502094
289	0.4634430024
290	0.4629913643
291	0.4620845541
292	0.4610346602
293	0.4593355729
294	0.4578445646
295	0.4575748119
296	0.4574043719
297	0.4559624641
298	0.4548081425
299	0.4540269367
300	0.4537009882
301	0.4530482884
302	0.4528787429
303	0.4509330889
304	0.4505605642
305	0.4495507657
306	0.4490335409
307	0.4479142165
308	0.4464152531
309	0.4448195933
310	0.4435389341
311	0.4425566807
312	0.4409301341
313	0.4402377455
314	0.4393055277
315	0.4388549171
316	0.4374210786
317	0.4355029427
318	0.4348871807
319	0.4336442991
320	0.4329788142
321	0.4323046329
322	0.4311348606
323	0.4308931
324	0.4291360054
325	0.428886192
326	0.4285948287
327	0.4276849084
328	0.4265972343
329	0.4255810846
330	0.4240017905
331	0.423645834
332	0.4221533431
333	0.4212240168
334	0.4203093399
335	0.4188272777
336	0.4178087607
337	0.4165368325
338	0.4158163952
339	0.4140908864
340	0.4124093451
341	0.4112232656
342	0.4097745496
343	0.4082425341
344	0.4075138294
345	0.4065731769
346	0.4064490623
347	0.4059395922
348	0.4053588742
349	0.4044093449
350	0.403543232
351	0.4031460825
352	0.4024458419
353	0.4020274313
354	0.4009113303
355	0.4006895724
356	0.3998789872
357	0.3992865911
358	0.3981495992
359	0.3973774928
360	0.3961034885
361	0.3958757423
362	0.3953327468
363	0.39453546
364	0.3939816923
365	0.3928321918
366	0.3911635286
367	0.3903850522
368	0.3895112303
369	0.3888659288
370	0.3878096273
371	0.3867474334
372	0.3861125377
373	0.385644791
374	0.3850172621
375	0.3842976637
376	0.383689115
377	0.3830584697
378	0.382024747
379	0.3813734772
380	0.3805541275
381	0.3802504918
382	0.3799832372
383	0.3788883049
384	0.3779665296
385	0.3772158421
386	0.3764824308
387	0.3754998506
388	0.3744439887
389	0.3743429695
390	0.3735684591
391	0.3728805903
392	0.3718262125
393	0.3715801536
394	0.3706170263
395	0.3695282172
396	0.3687360198
397	0.3678837329
398	0.3666169818
399	0.3663379443
400	0.3654955108
401	0.3654074166
402	0.3643915832
403	0.3643056296
404	0.363184473
405	0.3622743531
406	0.3612421281
407	0.3605830273
408	0.3596580054
409	0.3587166415
410	0.3584561679
411	0.3578949263
412	0.3574998823
413	0.3565549447
414	0.3559750197
415	0.3552234316
416	0.3544768501
417	0.3534710021
418	0.3525926812
419	0.3515103303
420	0.3508312511
421	0.3499744551
422	0.3492655476
423	0.3486566085
424	0.347824435
425	0.3473811103
426	0.3463954397
427	0.3457511276
428	0.3447417779
429	0.3440953018
430	0.3435380669
431	0.3427840498
432	0.3419164543
433	0.341645315
434	0.3410701787
435	0.3401935254
436	0.3397439348
437	0.3393679364
438	0.338545209
439	0.3376783212
440	0.3369034731
441	0.3356688764
442	0.334847135
443	0.3341628708
444	0.3333213513
445	0.3325879478
446	0.3313224799
447	0.3304330929
448	0.3302437608
449	0.329513974
450	0.3291692523
451	0.3286021432
452	0.3274546006
453	0.3265885635
454	0.3263880433
455	0.3253459138
456	0.324947328
457	0.323998916
458	0.3236186375
459	0.3228573622
460	0.3221358198
461	0.3216677536
462	0.3205006672
463	0.3195462666
464	0.3186509824
465	0.3179084672
466	0.3175179395
467	0.3167482761
468	0.315716406
469	0.3148039186
470	0.3140325929
471	0.3131570191
472	0.3124281892
473	0.3120467925
474	0.3114421004
475	0.3106693184
476	0.3101183467
477	0.3095777332
478	0.3086078244
479	0.3083896332
480	0.3076084549
481	0.306826854
482	0.3061512894
483	0.3058257728
484	0.3053059336
485	0.3049433697
486	0.3039335488
487	0.3034778736
488	0.3026079426
489	0.3020567058
490	0.3014621419
491	0.3010311241
492	0.3004317389
493	0.299934725
494	0.2990230106
495	0.2986850639
496	0.2982018963
497	0.2978462616
498	0.2974642206
499	0.2967515329
500	0.2959110044
501	0.2947463694
502	0.2938869989
503	0.2932063653
504	0.2925516215
505	0.2917247274
506	0.2910487098
507	0.2902963849
508	0.289911736
509	0.2892654218
510	0.2889436443
511	0.2882664025
512	0.2880085538
513	0.287398695
514	0.2870974898
515	0.2866056123
516	0.2860915169
517	0.285637404
518	0.2850633262
519	0.2845489257
520	0.2836964009
521	0.2831839568
522	0.2827521377
523	0.2824380937
524	0.2818727903
525	0.2816852879
526	0.2809647498
